"","age_range","outcome","involved_person","self_defined_ethnicity","gender","legislation","outcome_linked_to_object_of_search","datetime","removal_of_more_than_outer_clothing","outcome_object.id","outcome_object.name","location.latitude","location.street.id","location.street.name","location.longitude","operation","officer_defined_ethnicity","type","operation_name","object_of_search"
"54",25-34,A no further action disposal,TRUE,Asian/Asian British - Any other Asian background,Male,Firearms Act 1968 (section 47),TRUE,2021-06-26T17:01:19+00:00,NULL,bu-no-further-action,A no further action disposal,52.415890,1246579,On or near Merritt'S Brook Lane,-1.984783,FALSE,Asian,Person search,NULL,Firearms
"55",over 34,Arrest,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-06-17T10:05:20+00:00,NULL,bu-arrest,Arrest,52.405732,1246451,On or near Elan Road,-1.994032,FALSE,White,Person and Vehicle search,NULL,Stolen goods
"56",over 34,Arrest,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-06-17T10:14:15+00:00,NULL,bu-arrest,Arrest,52.404572,1246273,On or near Sheldon Drive,-1.993253,FALSE,White,Person and Vehicle search,NULL,Stolen goods
"57",over 34,Arrest,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-06-01T11:11:58+00:00,NULL,bu-arrest,Arrest,52.533455,1263078,On or near M6,-1.900242,FALSE,White,Person search,NULL,Controlled drugs
"58",over 34,Arrest,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-06-23T13:44:33+00:00,NULL,bu-arrest,Arrest,52.397882,1246406,On or near Cock Hill Lane,-2.017210,FALSE,White,Person search,NULL,Controlled drugs
"59",25-34,Summons / charged by post,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-06-23T13:39:44+00:00,NULL,bu-summons,Summons / charged by post,52.397882,1246406,On or near Cock Hill Lane,-2.017210,FALSE,White,Person search,NULL,Controlled drugs
"60",25-34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-06-23T13:45:37+00:00,NULL,bu-no-further-action,A no further action disposal,52.397882,1246406,On or near Cock Hill Lane,-2.017210,FALSE,White,Person search,NULL,Controlled drugs
"61",25-34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Firearms Act 1968 (section 47),TRUE,2021-06-26T16:59:13+00:00,NULL,bu-no-further-action,A no further action disposal,52.415890,1246579,On or near Merritt'S Brook Lane,-1.984783,FALSE,White,Person search,NULL,Firearms
"62",25-34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-06-08T16:47:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Evidence of offences under the Act
"63",25-34,A no further action disposal,TRUE,Asian/Asian British - Bangladeshi,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-06-11T15:05:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.479000,1488830,Birmingham Moor Street (Station),-1.892290,NULL,Asian,Person search,NULL,Controlled drugs
"64",over 34,A no further action disposal,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-06-15T06:25:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,White,Person search,NULL,Anything to threaten or harm anyone
"65",25-34,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-06-19T19:43:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Asian,Person search,NULL,Stolen goods
"66",25-34,Khat or Cannabis warning,TRUE,Black/African/Caribbean/Black British - African,NULL,Misuse of Drugs Act 1971 (section 23),TRUE,2021-06-20T11:55:00+00:00,FALSE,bu-khat-or-cannabis-warning,Khat or Cannabis warning,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Controlled drugs
"67",10-17,A no further action disposal,TRUE,Black/African/Caribbean/Black British - African,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-06-22T12:35:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.504201,1489565,Aston (Station),-1.870961,NULL,Black,Person search,NULL,Controlled drugs
"68",10-17,A no further action disposal,TRUE,White - Any other White background,NULL,Misuse of Drugs Act 1971 (section 23),FALSE,2021-06-22T12:44:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.504201,1489565,Aston (Station),-1.870961,NULL,White,Person search,NULL,Controlled drugs
"69",25-34,A no further action disposal,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),FALSE,2021-06-23T16:36:00+00:00,TRUE,bu-no-further-action,A no further action disposal,52.478321,1490260,Birmingham New Street (Station),-1.898042,NULL,Black,Person search,NULL,Controlled drugs
"70",18-24,Community resolution,TRUE,White - English/Welsh/Scottish/Northern Irish/British,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-06-24T13:49:00+00:00,FALSE,bu-community-resolution,Community resolution,52.564900,1488848,Sutton Coldfield (Station),-1.825170,NULL,White,Person search,NULL,Controlled drugs
"71",18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-05-07T16:27:55+00:00,TRUE,bu-no-further-action,A no further action disposal,52.393234,1246255,On or near Thurlestone Road,-1.982277,FALSE,Black,Person and Vehicle search,NULL,Controlled drugs
"72",18-24,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-05-07T16:29:36+00:00,TRUE,bu-no-further-action,A no further action disposal,52.393234,1246255,On or near Thurlestone Road,-1.982277,FALSE,Black,Person and Vehicle search,NULL,Controlled drugs
"73",25-34,Arrest,TRUE,Other ethnic group - Not stated,Male,Misuse of Drugs Act 1971 (section 23),TRUE,2021-05-10T00:01:00+00:00,NULL,bu-arrest,Arrest,52.406080,1246846,On or near Dove Gardens,-1.916757,FALSE,Black,Person search,NULL,Controlled drugs
"74",25-34,Arrest,TRUE,Black/African/Caribbean/Black British - African,Male,Police and Criminal Evidence Act 1984 (section 1),FALSE,2021-05-06T14:48:00+00:00,FALSE,bu-arrest,Arrest,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Anything to threaten or harm anyone
"75",25-34,A no further action disposal,TRUE,Black/African/Caribbean/Black British - Caribbean,Male,Police and Criminal Evidence Act 1984 (section 1),TRUE,2021-05-07T13:21:00+00:00,FALSE,bu-no-further-action,A no further action disposal,52.477800,1488803,Grand Central (Tram Stop),-1.898950,NULL,Black,Person search,NULL,Controlled drugs
